2020-06-17 00:43:47.529 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.delete
2020-06-17 00:43:47.533 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.deleteByMap
2020-06-17 00:43:47.537 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.deleteById
2020-06-17 00:43:47.540 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.deleteBatchIds
2020-06-17 00:43:47.544 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.update
2020-06-17 00:43:47.549 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.updateById
2020-06-17 00:43:47.550 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectById
2020-06-17 00:43:47.553 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectBatchIds
2020-06-17 00:43:47.556 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectByMap
2020-06-17 00:43:47.559 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectOne
2020-06-17 00:43:47.564 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectCount
2020-06-17 00:43:47.568 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectMaps
2020-06-17 00:43:47.572 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectMapsPage
2020-06-17 00:43:47.576 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectObjs
2020-06-17 00:43:47.581 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectList
2020-06-17 00:43:47.585 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.PostriskcombingMapper.selectPage
2020-06-17 00:43:47.726 WARN  --- [TableInfoHelper.java:301][main] - Can not find table primary key in Class: "com.xr.run.entity.Processrick".
2020-06-17 00:43:47.730 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.insert
2020-06-17 00:43:47.735 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.delete
2020-06-17 00:43:47.740 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.deleteByMap
2020-06-17 00:43:47.744 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.deleteById
2020-06-17 00:43:47.748 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.deleteBatchIds
2020-06-17 00:43:47.752 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.update
2020-06-17 00:43:47.757 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.updateById
2020-06-17 00:43:47.759 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectById
2020-06-17 00:43:47.764 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectBatchIds
2020-06-17 00:43:47.767 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectByMap
2020-06-17 00:43:47.772 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectOne
2020-06-17 00:43:47.778 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectCount
2020-06-17 00:43:47.788 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectMaps
2020-06-17 00:43:47.811 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectMapsPage
2020-06-17 00:43:47.816 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectObjs
2020-06-17 00:43:47.821 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectList
2020-06-17 00:43:47.826 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.ProcessrickMapper.selectPage
2020-06-17 00:43:47.950 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.insert
2020-06-17 00:43:47.954 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.delete
2020-06-17 00:43:47.958 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.deleteByMap
2020-06-17 00:43:47.963 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.deleteById
2020-06-17 00:43:47.967 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.deleteBatchIds
2020-06-17 00:43:47.972 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.update
2020-06-17 00:43:47.977 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.updateById
2020-06-17 00:43:47.978 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectById
2020-06-17 00:43:47.983 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectBatchIds
2020-06-17 00:43:47.987 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectByMap
2020-06-17 00:43:47.991 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectOne
2020-06-17 00:43:47.996 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectCount
2020-06-17 00:43:48.000 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectMaps
2020-06-17 00:43:48.005 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectMapsPage
2020-06-17 00:43:48.009 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectObjs
2020-06-17 00:43:48.012 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectList
2020-06-17 00:43:48.016 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdEntityResponsibilityMapper.selectPage
2020-06-17 00:43:48.117 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdHonestConversationMapper.insert
2020-06-17 00:43:48.120 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdHonestConversationMapper.delete
2020-06-17 00:43:48.123 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdHonestConversationMapper.deleteByMap
